embedding_model,classifier,repeat,seed,precision,recall,f1,nb_0,nb_1,elapsed_train,elapsed_test
distilbert,MLP,2,43,0.9134233518665608,0.8829174664107485,0.8979113800507516,112913,2605,144.08643,0.11261
distilbert,CatBoost,2,43,0.8931297709923665,0.9880998080614204,0.9382176052487698,112913,2605,62.89362,0.14087
distilbert,XGBoost,2,43,0.9603174603174603,0.9754318618042227,0.9678156541611121,112913,2605,15.53771,0.37906
minilm,RandomForest,2,43,0.9935483870967742,0.8276391554702495,0.9030366492146596,112913,2605,226.4205,2.43271
minilm,LogisticRegression,2,43,0.2987214720994145,0.9596928982725528,0.455622380171314,112913,2605,98.95894,0.01533
minilm,KNN,2,43,0.9658584858980702,0.7493282149712092,0.8439256376999568,112913,2605,0.18778,106.04439
minilm,MLP,2,43,0.9176376054640418,0.8767754318618042,0.8967412642324303,112913,2605,136.17712,0.11204
minilm,CatBoost,2,43,0.8574758574758575,0.9884836852207294,0.9183309557774608,112913,2605,63.3807,0.12356
minilm,XGBoost,2,43,0.960710238005289,0.9761996161228407,0.9683929931454683,112913,2605,15.71976,0.37832
roberta,RandomForest,2,43,0.9944700460829493,0.8284069097888676,0.9038743455497382,112913,2605,225.52226,2.4349
roberta,LogisticRegression,2,43,0.29932950191570884,0.9596928982725528,0.45632928721365335,112913,2605,105.86982,0.01532
roberta,KNN,2,43,0.9658584858980702,0.7493282149712092,0.8439256376999568,112913,2605,0.18785,106.18722
roberta,MLP,2,43,0.9134233518665608,0.8829174664107485,0.8979113800507516,112913,2605,143.37831,0.13627
roberta,CatBoost,2,43,0.8931297709923665,0.9880998080614204,0.9382176052487698,112913,2605,63.3698,0.13577
roberta,XGBoost,2,43,0.9603174603174603,0.9754318618042227,0.9678156541611121,112913,2605,15.44536,0.38165
albert,RandomForest,3,44,0.9954001839926403,0.8307101727447217,0.9056287926344424,112913,2605,226.99992,2.76198
albert,LogisticRegression,3,44,0.30247512739626303,0.9570057581573896,0.45966626717064624,112913,2605,68.40881,0.0149
albert,KNN,3,44,0.9612711022840119,0.7431861804222649,0.8382766832647759,112913,2605,0.18587,105.71885
albert,MLP,3,44,0.9207100591715977,0.8959692898272553,0.9081712062256809,112913,2605,154.83445,0.42388
albert,CatBoost,3,44,0.8908901974367855,0.9873320537428023,0.9366351056081573,112913,2605,64.1526,0.14583
albert,XGBoost,3,44,0.9583176868193767,0.9796545105566219,0.9688686408504176,112913,2605,15.538,0.37329
bart,RandomForest,3,44,0.9954001839926403,0.8307101727447217,0.9056287926344424,112913,2605,228.98145,2.48972
bart,LogisticRegression,3,44,0.30247512739626303,0.9570057581573896,0.45966626717064624,112913,2605,69.23683,0.01487
bart,KNN,3,44,0.9612711022840119,0.7431861804222649,0.8382766832647759,112913,2605,0.1834,105.88524
bart,MLP,3,44,0.9207100591715977,0.8959692898272553,0.9081712062256809,112913,2605,154.923,0.42418
bart,CatBoost,3,44,0.8908901974367855,0.9873320537428023,0.9366351056081573,112913,2605,63.02776,0.13163
bart,XGBoost,3,44,0.9583176868193767,0.9796545105566219,0.9688686408504176,112913,2605,15.47759,0.37799
bert,RandomForest,3,44,0.9954001839926403,0.8307101727447217,0.9056287926344424,112913,2605,228.25213,2.7643
bert,LogisticRegression,3,44,0.30247512739626303,0.9570057581573896,0.45966626717064624,112913,2605,69.16103,0.01526
bert,KNN,3,44,0.9612711022840119,0.7431861804222649,0.8382766832647759,112913,2605,0.18439,104.43889
bert,MLP,3,44,0.9207100591715977,0.8959692898272553,0.9081712062256809,112913,2605,155.63448,0.42426
bert,CatBoost,3,44,0.8908901974367855,0.9873320537428023,0.9366351056081573,112913,2605,63.78736,0.13974
bert,XGBoost,3,44,0.9583176868193767,0.9796545105566219,0.9688686408504176,112913,2605,15.46647,0.37888
distilbert,RandomForest,3,44,0.9954001839926403,0.8307101727447217,0.9056287926344424,112913,2605,228.91654,2.5131
distilbert,LogisticRegression,3,44,0.30247512739626303,0.9570057581573896,0.45966626717064624,112913,2605,68.76479,0.0149
