benchmark,scenario,dataset,source_table,target_table,ncols_src,ncols_tgt,nrows_src,nrows_tgt,nmatches,method,runtime,mrr,All_Precision,All_F1Score,All_Recall,All_PrecisionTop10Percent,All_RecallAtSizeofGroundTruth,One2One_Precision,One2One_F1Score,One2One_Recall,One2One_PrecisionTop10Percent,One2One_RecallAtSizeofGroundTruth,type
valentine,,OpenData,miller2_both_50_1_ac4_ev_source.csv,miller2_both_50_1_ac4_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoFTGPT,143.27472066879272,1.0,0.0714285714285714,0.1333333333333333,1.0,0.0,0.0,0.0833333333333333,0.1538461538461538,1.0,0.0,0.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac5_ev_source.csv,miller2_both_50_1_ac5_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,Magneto,8.632080793380737,1.0,0.0384615384615384,0.074074074074074,1.0,0.0,0.0,0.0714285714285714,0.1333333333333333,1.0,0.0,0.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac5_ev_source.csv,miller2_both_50_1_ac5_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoGPT,197.1644685268402,1.0,0.0476190476190476,0.0909090909090909,1.0,0.3333333333333333,1.0,0.0714285714285714,0.1333333333333333,1.0,0.5,1.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac5_ev_source.csv,miller2_both_50_1_ac5_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoFT,7.88915753364563,1.0,0.0384615384615384,0.074074074074074,1.0,0.0,0.0,0.0714285714285714,0.1333333333333333,1.0,0.0,0.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac5_ev_source.csv,miller2_both_50_1_ac5_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoFTGPT,176.25376963615415,1.0,0.0588235294117647,0.1111111111111111,1.0,0.5,0.0,0.0714285714285714,0.1333333333333333,1.0,0.5,0.0,Joinable
valentine,,OpenData,miller2_both_50_30_ac1_ev_source.csv,miller2_both_50_30_ac1_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,Magneto,10.336980104446411,1.0,0.4545454545454545,0.625,1.0,1.0,0.8,0.7222222222222222,0.7878787878787877,0.8666666666666667,1.0,0.8,Joinable
valentine,,OpenData,miller2_both_50_30_ac1_ev_source.csv,miller2_both_50_30_ac1_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,MagnetoGPT,202.53720498085025,1.0,0.7142857142857143,0.8333333333333333,1.0,1.0,0.8,0.7894736842105263,0.8823529411764706,1.0,1.0,0.8666666666666667,Joinable
valentine,,OpenData,miller2_both_50_30_ac1_ev_source.csv,miller2_both_50_30_ac1_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,MagnetoFT,9.921287298202516,1.0,0.4545454545454545,0.625,1.0,1.0,0.8666666666666667,0.7777777777777778,0.8484848484848485,0.9333333333333332,1.0,0.8666666666666667,Joinable
valentine,,OpenData,miller2_both_50_30_ac1_ev_source.csv,miller2_both_50_30_ac1_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,MagnetoFTGPT,196.89498805999756,1.0,0.6521739130434783,0.7894736842105263,1.0,1.0,0.4666666666666667,0.75,0.8571428571428571,1.0,1.0,0.9333333333333332,Joinable
valentine,,OpenData,miller2_both_50_30_ac3_ev_source.csv,miller2_both_50_30_ac3_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,Magneto,10.88615083694458,0.6348504273504273,0.2424242424242424,0.3333333333333333,0.5333333333333333,0.75,0.5333333333333333,0.4444444444444444,0.4848484848484848,0.5333333333333333,0.5,0.5333333333333333,Joinable
valentine,,OpenData,miller2_both_50_30_ac3_ev_source.csv,miller2_both_50_30_ac3_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,MagnetoGPT,208.47390127182007,0.7773569023569025,0.4230769230769231,0.5365853658536585,0.7333333333333333,0.3333333333333333,0.1333333333333333,0.4583333333333333,0.5641025641025641,0.7333333333333333,0.3333333333333333,0.5333333333333333,Joinable
valentine,,OpenData,miller2_both_50_30_ac3_ev_source.csv,miller2_both_50_30_ac3_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,MagnetoFT,10.087769508361816,0.6404456654456653,0.2424242424242424,0.3333333333333333,0.5333333333333333,0.75,0.5333333333333333,0.4444444444444444,0.4848484848484848,0.5333333333333333,0.5,0.5333333333333333,Joinable
valentine,,OpenData,miller2_both_50_30_ac3_ev_source.csv,miller2_both_50_30_ac3_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,MagnetoFTGPT,174.06987047195437,0.8416161616161616,0.48,0.6,0.8,0.6666666666666666,0.2666666666666666,0.5217391304347826,0.6315789473684211,0.8,0.6666666666666666,0.4666666666666667,Joinable
valentine,,OpenData,miller2_both_50_30_ac4_ev_source.csv,miller2_both_50_30_ac4_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,Magneto,10.36350131034851,0.8167989417989417,0.3636363636363636,0.5000000000000001,0.8,0.75,0.8,0.6666666666666666,0.7272727272727272,0.8,1.0,0.8,Joinable
valentine,,OpenData,miller2_both_50_30_ac4_ev_source.csv,miller2_both_50_30_ac4_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,MagnetoGPT,174.63957333564758,1.0,0.6818181818181818,0.8108108108108109,1.0,1.0,0.2666666666666666,0.75,0.8571428571428571,1.0,1.0,0.8,Joinable
valentine,,OpenData,miller2_both_50_30_ac4_ev_source.csv,miller2_both_50_30_ac4_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,MagnetoFT,10.1402108669281,0.8916666666666667,0.3939393939393939,0.5416666666666666,0.8666666666666667,1.0,0.6,0.6111111111111112,0.6666666666666666,0.7333333333333333,1.0,0.6,Joinable
valentine,,OpenData,miller2_both_50_30_ac4_ev_source.csv,miller2_both_50_30_ac4_ev_target.csv,33.0,33.0,11627.0,17440.0,15.0,MagnetoFTGPT,170.5284779071808,1.0,0.6521739130434783,0.7894736842105263,1.0,1.0,0.4666666666666667,0.7142857142857143,0.8333333333333333,1.0,1.0,0.9333333333333332,Joinable
